Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
18 to 29,No,Frequent Traveller,Sales,43,0.38,19,Marketing,1,116F-33F1,White,Iain,Male,2022,Qtr 3,August,15,Sales Executive,MacNeilly,Single,No,65010,A- 20K to 70K,NY,0,0,0,0,0,34
18 to 29,No,Frequent Traveller,Sales,26,3.13,23,Marketing,1,449E-0EB7,White,Dniren,Female,2019,Qtr 4,November,15,Sales Executive,Muddiman,Married,No,44646,A- 20K to 70K,NY,1,3,1,2,2,23
18 to 29,No,Frequent Traveller,Sales,25,7.79,25,Marketing,1,6F50-08B6,White,Mick,Male,2015,Qtr 1,March,20,Sales Executive,Tomaschke,Single,No,57030,A- 20K to 70K,NY,0,7,5,7,6,23
18 to 29,No,Frequent Traveller,Sales,9,4.11,24,Marketing,1,8CC3-0C6A,American Indian or Alaska Native,Vin,Female,2018,Qtr 4,November,21,Sales Executive,Gricewood,Married,No,125759,B- 70K to 150K,CA,0,4,3,3,0,1
18 to 29,No,Frequent Traveller,Sales,14,1.97,19,Marketing,2,0F2B-3457,White,Steven,Male,2021,Qtr 1,January,10,Sales Executive,Bucktrout,Single,Yes,74458,B- 70K to 150K,NY,1,1,0,0,1,12
18 to 29,No,Frequent Traveller,Sales,42,2.78,21,Marketing,2,4D07-1452,White,Duke,Male,2020,Qtr 1,March,23,Sales Executive,Whittenbury,Single,No,46750,A- 20K to 70K,NY,0,2,0,0,0,34
18 to 29,No,Frequent Traveller,Sales,9,0.72,21,Marketing,3,1480-131D,White,Marabel,Female,2022,Qtr 2,April,14,Sales Representative,Horney,Divorced,No,35770,A- 20K to 70K,CA,1,0,0,0,0,1
18 to 29,No,Frequent Traveller,Sales,29,2.57,28,Marketing,3,1E20-2FFF,White,Addison,Male,2020,Qtr 2,June,5,Sales Executive,McCormack,Married,No,327674,Over 300K,CA,3,2,2,2,1,23
18 to 29,No,Frequent Traveller,Sales,13,2.04,29,Marketing,3,2D04-D0A5,White,Rosaline,Female,2020,Qtr 4,December,16,Sales Executive,Ferrieri,Married,No,126008,B- 70K to 150K,CA,1,2,2,2,1,12
18 to 29,No,Frequent Traveller,Sales,33,1.62,21,Marketing,3,4FA9-D343,White,Consolata,Female,2021,Qtr 2,May,18,Sales Executive,Risom,Divorced,No,60810,A- 20K to 70K,NY,1,1,0,1,1,23
18 to 29,No,Frequent Traveller,Sales,44,0.35,19,Marketing,3,5154-0F13,White,Hilary,Male,2022,Qtr 3,August,27,Sales Executive,Easlea,Single,No,37645,A- 20K to 70K,CA,1,0,0,0,0,34
18 to 29,No,Frequent Traveller,Sales,33,5.95,25,Marketing,3,6D3B-AD28,White,Zsa zsa,Female,2017,Qtr 1,January,18,Sales Executive,Valentin,Single,No,94810,B- 70K to 150K,CA,0,5,0,0,3,23
18 to 29,No,Frequent Traveller,Sales,40,1.7,21,Marketing,3,974D-9F8F,White,Tove,Female,2021,Qtr 2,April,18,Sales Executive,Arnao,Single,No,59519,A- 20K to 70K,CA,0,1,1,1,1,34
18 to 29,No,Frequent Traveller,Sales,42,4.97,25,Marketing,3,9BE8-2C44,Black or African American,Bail,Male,2018,Qtr 1,January,12,Sales Executive,Elsworth,Married,No,72758,B- 70K to 150K,IL,2,4,3,3,3,34
18 to 29,No,Frequent Traveller,Sales,25,6.36,25,Marketing,3,CD7F-377F,Black or African American,Kendricks,Male,2016,Qtr 3,August,24,Sales Executive,Tribe,Married,No,46283,A- 20K to 70K,CA,1,6,5,6,1,23
18 to 29,No,Frequent Traveller,Sales,6,7.31,25,Marketing,3,CDC1-C7CA,Mixed or multiple ethnic groups,Jobyna,Female,2015,Qtr 3,September,12,Sales Executive,Keeler,Married,No,102569,B- 70K to 150K,CA,0,7,1,2,5,1
18 to 29,No,Frequent Traveller,Sales,9,3.91,24,Marketing,3,D471-4BFF,Black or African American,Dew,Male,2019,Qtr 1,February,4,Sales Executive,Jinkinson,Single,No,45410,A- 20K to 70K,NY,0,3,3,3,1,1
18 to 29,No,Frequent Traveller,Sales,44,4.45,24,Marketing,3,ECC7-B638,Black or African American,Patrice,Male,2018,Qtr 3,July,20,Sales Executive,Boorman,Married,No,41741,A- 20K to 70K,NY,1,4,0,1,0,34
18 to 29,No,Frequent Traveller,Sales,17,5.35,24,Marketing,4,005C-E0FB,White,Fin,Non-Binary,2017,Qtr 3,August,26,Sales Executive,O'Halleghane,Married,No,56155,A- 20K to 70K,CA,1,5,2,2,0,12
18 to 29,No,Frequent Traveller,Sales,41,0.9,18,Marketing,4,135D-DF79,White,Lew,Male,2022,Qtr 1,February,7,Sales Executive,Muzzall,Single,No,72639,B- 70K to 150K,CA,2,0,0,0,0,34
18 to 29,No,Frequent Traveller,Sales,26,4.59,23,Marketing,4,2BCE-F73C,Asian or Asian American,Mort,Male,2018,Qtr 2,June,1,Sales Executive,Alliston,Single,No,68046,A- 20K to 70K,CA,0,4,4,4,2,23
18 to 29,No,Frequent Traveller,Sales,25,0.29,20,Marketing,4,6614-06D8,White,Cullin,Male,2022,Qtr 3,September,16,Sales Representative,Uzzell,Divorced,No,29872,A- 20K to 70K,CA,1,0,0,0,0,23
18 to 29,No,Frequent Traveller,Sales,3,4,24,Marketing,4,B670-21B2,White,Ellery,Male,2019,Qtr 1,January,1,Sales Executive,Hartopp,Single,Yes,70546,B- 70K to 150K,CA,0,3,2,2,0,1
18 to 29,No,Frequent Traveller,Sales,21,0.52,18,Marketing,4,D380-A175,White,Fritz,Male,2022,Qtr 2,June,25,Sales Representative,St. Quintin,Single,No,22889,A- 20K to 70K,NY,1,0,0,0,0,12
18 to 29,No,Frequent Traveller,Sales,40,8.72,28,Marketing,5,9900-1159,Black or African American,Kristien,Female,2014,Qtr 2,April,13,Sales Executive,Vedikhov,Married,No,215327,C- 150K to 225K,IL,1,8,1,6,8,34
18 to 29,No,Frequent Traveller,Sales,4,9.14,28,Other,4,6F3E-2A75,Black or African American,Ruby,Male,2013,Qtr 4,November,12,Sales Executive,Gurrado,Single,No,110839,B- 70K to 150K,CA,0,9,8,8,4,1
18 to 29,No,Frequent Traveller,Sales,21,4.99,25,Technical Degree,2,3653-D544,Black or African American,Adria,Female,2018,Qtr 1,January,3,Sales Executive,Smurfit,Married,No,91332,B- 70K to 150K,IL,1,4,3,3,3,12
18 to 29,No,Frequent Traveller,Technology,11,7.17,25,Business Studies,1,63E9-F74A,Mixed or multiple ethnic groups,Amos,Male,2015,Qtr 4,November,2,Machine Learning Engineer,Simcox,Married,No,67708,A- 20K to 70K,NY,1,7,7,7,0,1
18 to 29,No,Frequent Traveller,Technology,7,7.95,28,Business Studies,4,3120-B11F,White,Allister,Male,2015,Qtr 1,January,21,Senior Software Engineer,Noads,Married,No,140538,B- 70K to 150K,CA,1,7,3,5,0,1
18 to 29,No,Frequent Traveller,Technology,15,0.7,19,Business Studies,4,5A8A-1547,White,Nora,Non-Binary,2022,Qtr 2,April,19,Software Engineer,Gittoes,Single,No,77905,B- 70K to 150K,CA,0,0,0,0,0,12
18 to 29,No,Frequent Traveller,Technology,40,2.74,25,Business Studies,4,5AD2-3B02,White,Bourke,Male,2020,Qtr 2,April,5,Senior Software Engineer,Laird-Craig,Married,No,67200,A- 20K to 70K,NY,3,2,2,2,2,34
18 to 29,No,Frequent Traveller,Technology,26,6.18,24,Business Studies,4,EE63-4E57,White,Margalo,Female,2016,Qtr 4,October,26,Senior Software Engineer,Pettwood,Single,No,133949,B- 70K to 150K,CA,0,6,4,6,6,23
18 to 29,No,Frequent Traveller,Technology,42,7.67,26,Computer Science,1,41EC-F2AA,Asian or Asian American,Antoinette,Female,2015,Qtr 2,May,4,Data Scientist,Dreamer,Married,No,56966,A- 20K to 70K,CA,1,7,4,5,2,34
18 to 29,No,Frequent Traveller,Technology,20,7.59,28,Computer Science,1,65A0-5D04,Black or African American,Ginnifer,Female,2015,Qtr 2,June,2,Data Scientist,Grigoletti,Married,No,62016,A- 20K to 70K,CA,3,7,6,6,4,12
18 to 29,No,Frequent Traveller,Technology,24,4.78,25,Computer Science,1,65C9-0885,White,Kain,Male,2018,Qtr 1,March,21,Senior Software Engineer,Libero,Divorced,No,121373,B- 70K to 150K,CA,1,4,0,2,1,23
18 to 29,No,Frequent Traveller,Technology,34,4.7,25,Computer Science,1,A409-26AC,Black or African American,Agretha,Non-Binary,2018,Qtr 2,April,20,Engineering Manager,Shakelade,Married,No,170803,C- 150K to 225K,NY,0,4,2,2,3,34
18 to 29,No,Frequent Traveller,Technology,40,1.54,28,Computer Science,1,BC21-2167,White,Aldin,Non-Binary,2021,Qtr 2,June,17,Senior Software Engineer,Barens,Single,No,187698,C- 150K to 225K,CA,0,1,0,1,1,34
18 to 29,No,Frequent Traveller,Technology,45,0.68,20,Computer Science,1,BE54-B2AF,White,Nelia,Female,2022,Qtr 2,April,28,Machine Learning Engineer,Abramowitz,Married,No,46714,A- 20K to 70K,CA,1,0,0,0,0,34
18 to 29,No,Frequent Traveller,Technology,29,4.07,22,Computer Science,2,DB54-E47D,Mixed or multiple ethnic groups,Violet,Female,2018,Qtr 4,December,8,Data Scientist,Pearsall,Single,No,45850,A- 20K to 70K,CA,0,4,2,3,1,23
18 to 29,No,Frequent Traveller,Technology,9,2.41,22,Computer Science,2,E267-D788,White,Tristan,Male,2020,Qtr 3,August,5,Senior Software Engineer,Albro,Divorced,No,73389,B- 70K to 150K,NY,3,2,0,2,2,1
18 to 29,No,Frequent Traveller,Technology,17,9.69,29,Computer Science,2,F523-1135,Black or African American,Derrik,Male,2013,Qtr 2,April,25,Machine Learning Engineer,Seage,Divorced,No,129703,B- 70K to 150K,NY,3,9,6,6,3,12
18 to 29,No,Frequent Traveller,Technology,15,5.46,24,Computer Science,2,F7B0-E6B2,White,Tarrance,Male,2017,Qtr 3,July,17,Data Scientist,Reidshaw,Divorced,No,63078,A- 20K to 70K,IL,1,5,5,5,2,12
18 to 29,No,Frequent Traveller,Technology,14,10.86,29,Computer Science,3,0FC8-561B,Asian or Asian American,Caryl,Male,2012,Qtr 1,February,22,Senior Software Engineer,Loving,Married,No,93591,B- 70K to 150K,IL,1,10,4,10,3,12
18 to 29,No,Frequent Traveller,Technology,14,6.15,26,Computer Science,3,11C2-2B5B,Mixed or multiple ethnic groups,Aurlie,Female,2016,Qtr 4,November,9,Machine Learning Engineer,Demeza,Divorced,No,92778,B- 70K to 150K,NY,1,6,6,6,1,12
18 to 29,No,Frequent Traveller,Technology,34,3.44,23,Computer Science,3,1D74-2661,American Indian or Alaska Native,Renaud,Male,2019,Qtr 3,July,24,Software Engineer,Gigg,Married,No,43009,A- 20K to 70K,NY,0,3,2,2,1,34
18 to 29,No,Frequent Traveller,Technology,5,6.01,26,Computer Science,3,3261-373A,White,Dorey,Female,2016,Qtr 4,December,28,Senior Software Engineer,Arpur,Married,Yes,99203,B- 70K to 150K,IL,1,6,3,3,4,1
18 to 29,No,Frequent Traveller,Technology,10,0.62,18,Computer Science,3,32F1-6903,White,Mariya,Female,2022,Qtr 2,May,17,Software Engineer,Mattheus,Single,No,26960,A- 20K to 70K,IL,3,0,0,0,0,1
18 to 29,No,Frequent Traveller,Technology,40,2.27,23,Computer Science,3,36A3-F0A5,White,Hirsch,Male,2020,Qtr 3,September,23,Senior Software Engineer,Broadnicke,Divorced,No,79724,B- 70K to 150K,CA,1,2,0,2,0,34
18 to 29,No,Frequent Traveller,Technology,17,6.55,25,Computer Science,3,40CC-6231,Native Hawaiian,Rodi,Female,2016,Qtr 2,June,15,Software Engineer,McGerraghty,Married,No,54566,A- 20K to 70K,CA,1,6,3,6,5,12
18 to 29,No,Frequent Traveller,Technology,36,4.12,24,Computer Science,3,7A2A-0600,White,Axel,Male,2018,Qtr 4,November,20,Software Engineer,McIlhatton,Divorced,No,30233,A- 20K to 70K,CA,3,4,0,4,0,34
18 to 29,No,Frequent Traveller,Technology,32,1.61,20,Computer Science,3,8533-B8FA,White,Ambur,Female,2021,Qtr 2,May,24,Software Engineer,Axton,Divorced,No,33488,A- 20K to 70K,CA,2,1,1,1,1,23
18 to 29,No,Frequent Traveller,Technology,22,6.15,26,Computer Science,3,8733-BC3C,Asian or Asian American,Kerwinn,Male,2016,Qtr 4,November,6,Software Engineer,Fassum,Divorced,Yes,81726,B- 70K to 150K,CA,2,6,0,6,1,12
18 to 29,No,Frequent Traveller,Technology,12,2.41,23,Computer Science,3,B3A4-91F0,White,Dud,Male,2020,Qtr 3,August,5,Senior Software Engineer,Durdan,Divorced,No,68820,A- 20K to 70K,NY,1,2,2,2,1,12
18 to 29,No,Frequent Traveller,Technology,7,3.34,21,Computer Science,3,B5C6-A760,White,Brigitta,Female,2019,Qtr 3,August,31,Machine Learning Engineer,Larkins,Single,No,76518,B- 70K to 150K,CA,0,3,1,2,1,1
18 to 29,No,Frequent Traveller,Technology,36,3.94,21,Computer Science,3,CF5D-0E32,American Indian or Alaska Native,Fairfax,Male,2019,Qtr 1,January,24,Software Engineer,Leyre,Divorced,Yes,22462,A- 20K to 70K,CA,1,3,2,2,3,34
18 to 29,No,Frequent Traveller,Technology,45,1.69,19,Computer Science,3,D92F-63AD,White,Gabey,Female,2021,Qtr 2,April,22,Data Scientist,Whitloe,Single,No,32322,A- 20K to 70K,CA,0,1,1,1,1,34
18 to 29,No,Frequent Traveller,Technology,29,3.99,21,Computer Science,3,FA48-B743,Asian or Asian American,Jorie,Non-Binary,2019,Qtr 1,January,3,Data Scientist,Ockland,Divorced,No,64887,A- 20K to 70K,IL,1,3,3,3,0,23
18 to 29,No,Frequent Traveller,Technology,23,0.24,24,Computer Science,4,04D3-B8D3,White,Ann,Female,2022,Qtr 4,October,3,Senior Software Engineer,Sivorn,Single,No,158437,C- 150K to 225K,NY,1,0,0,0,0,23
18 to 29,No,Frequent Traveller,Technology,9,7.84,27,Computer Science,4,07F1-62C3,Black or African American,Bertrand,Male,2015,Qtr 1,March,3,Software Engineer,Davidsen,Married,Yes,39001,A- 20K to 70K,NY,0,7,7,7,4,1
18 to 29,No,Frequent Traveller,Technology,38,7.77,28,Computer Science,4,0CF8-1EBD,Mixed or multiple ethnic groups,Franciska,Female,2015,Qtr 1,March,28,Data Scientist,Cubbin,Married,No,87704,B- 70K to 150K,CA,2,7,1,3,6,34
18 to 29,No,Frequent Traveller,Technology,44,3.38,24,Computer Science,4,1FAC-768D,White,Elton,Male,2019,Qtr 3,August,17,Software Engineer,Hyrons,Divorced,No,61230,A- 20K to 70K,CA,1,3,2,3,3,34
18 to 29,No,Frequent Traveller,Technology,15,3.92,22,Computer Science,4,284C-8CB0,American Indian or Alaska Native,Dennison,Male,2019,Qtr 1,February,1,Software Engineer,Mouncey,Single,No,40115,A- 20K to 70K,NY,0,3,3,3,0,12
18 to 29,No,Frequent Traveller,Technology,5,5.7,25,Computer Science,4,5C87-D7BB,Mixed or multiple ethnic groups,Malory,Female,2017,Qtr 2,April,22,Software Engineer,Dumbelton,Single,Yes,67151,A- 20K to 70K,CA,0,5,4,5,4,1
18 to 29,No,Frequent Traveller,Technology,14,4.43,24,Computer Science,4,BFAF-1ED1,Mixed or multiple ethnic groups,Georges,Male,2018,Qtr 3,July,28,Data Scientist,Hinstridge,Divorced,No,67538,A- 20K to 70K,CA,1,4,3,4,2,12
18 to 29,No,Frequent Traveller,Technology,20,4.91,25,Computer Science,4,C27A-1115,Mixed or multiple ethnic groups,Alasteir,Male,2018,Qtr 1,February,4,Machine Learning Engineer,Muge,Married,No,96514,B- 70K to 150K,NY,1,4,4,4,0,12
18 to 29,No,Frequent Traveller,Technology,10,6.23,24,Computer Science,4,D3EB-610D,Mixed or multiple ethnic groups,Bo,Male,2016,Qtr 4,October,10,Data Scientist,Cullabine,Married,Yes,67447,A- 20K to 70K,NY,1,6,2,6,6,1
18 to 29,No,Frequent Traveller,Technology,16,4.76,23,Computer Science,4,D7C2-EAA5,Mixed or multiple ethnic groups,Camila,Female,2018,Qtr 1,March,31,Machine Learning Engineer,Lergan,Divorced,No,67558,A- 20K to 70K,CA,1,4,1,1,1,12
18 to 29,No,Frequent Traveller,Technology,1,6.41,27,Computer Science,4,DBF0-2EA3,White,Kaitlyn,Female,2016,Qtr 3,August,4,Senior Software Engineer,Ernshaw,Married,Yes,56302,A- 20K to 70K,CA,2,6,3,5,4,1
18 to 29,No,Frequent Traveller,Technology,6,9.15,28,Information Systems,1,211E-BC82,White,Britt,Female,2013,Qtr 4,November,9,Software Engineer,Ritchley,Divorced,No,47148,A- 20K to 70K,CA,2,9,3,8,8,1
18 to 29,No,Frequent Traveller,Technology,2,0.35,20,Information Systems,1,7ED6-BEC8,White,Danika,Female,2022,Qtr 3,August,24,Software Engineer,Corbet,Married,No,38009,A- 20K to 70K,NY,1,0,0,0,0,1
18 to 29,No,Frequent Traveller,Technology,28,6.59,25,Information Systems,1,A105-470B,Mixed or multiple ethnic groups,Sancho,Male,2016,Qtr 2,May,31,Software Engineer,Mundle,Single,Yes,23993,A- 20K to 70K,CA,0,6,3,4,4,23
18 to 29,No,Frequent Traveller,Technology,21,4.68,22,Information Systems,1,FB6A-3F11,Mixed or multiple ethnic groups,Ophelia,Female,2018,Qtr 2,April,29,Data Scientist,Cosby,Married,No,34193,A- 20K to 70K,CA,0,4,2,4,3,12
18 to 29,No,Frequent Traveller,Technology,35,6.61,25,Information Systems,2,0E79-8257,White,Noby,Male,2016,Qtr 2,May,23,Data Scientist,Lifton,Single,No,28139,A- 20K to 70K,NY,0,6,1,1,5,34
18 to 29,No,Frequent Traveller,Technology,33,1.57,21,Information Systems,2,31E1-001F,White,Stevy,Male,2021,Qtr 2,June,7,Software Engineer,McArthur,Married,Yes,37954,A- 20K to 70K,CA,1,1,0,0,1,23
18 to 29,No,Frequent Traveller,Technology,45,6.54,27,Information Systems,2,411F-6325,White,Fabio,Male,2016,Qtr 2,June,17,Data Scientist,Metham,Single,No,34579,A- 20K to 70K,CA,0,6,4,4,4,34
18 to 29,No,Frequent Traveller,Technology,17,7.61,26,Information Systems,2,59F5-F57D,White,Lilly,Female,2015,Qtr 2,May,25,Senior Software Engineer,Nancarrow,Married,Yes,59981,A- 20K to 70K,CA,1,7,1,5,2,12
18 to 29,No,Frequent Traveller,Technology,26,3.78,23,Information Systems,2,8291-DE04,White,Ring,Non-Binary,2019,Qtr 1,March,22,Data Scientist,Miles,Single,No,31342,A- 20K to 70K,CA,0,3,0,3,0,23
18 to 29,No,Frequent Traveller,Technology,27,8.12,28,Information Systems,2,DF63-0D3C,White,Roda,Female,2014,Qtr 4,November,18,Analytics Manager,Costin,Married,No,546549,Over 300K,CA,1,8,8,8,2,23
18 to 29,No,Frequent Traveller,Technology,36,5.88,25,Information Systems,2,E442-1FEE,American Indian or Alaska Native,Nicoline,Female,2017,Qtr 1,February,13,Data Scientist,Rippon,Single,No,31698,A- 20K to 70K,CA,0,5,5,5,2,34
18 to 29,No,Frequent Traveller,Technology,17,1.02,21,Information Systems,2,F9D2-5579,White,Nancie,Female,2021,Qtr 4,December,25,Senior Software Engineer,Storck,Married,No,49516,A- 20K to 70K,CA,1,1,1,1,0,12
18 to 29,No,Frequent Traveller,Technology,26,0.06,19,Information Systems,3,06B1-2653,Black or African American,Montgomery,Male,2022,Qtr 4,December,8,Software Engineer,Galliford,Single,No,27474,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,No,Frequent Traveller,Technology,16,0.86,20,Information Systems,3,22C9-83A6,White,Chick,Non-Binary,2022,Qtr 1,February,19,Software Engineer,Ballach,Married,No,38717,A- 20K to 70K,CA,1,0,0,0,0,12
18 to 29,No,Frequent Traveller,Technology,20,5.52,25,Information Systems,3,2546-1312,American Indian or Alaska Native,Carlos,Male,2017,Qtr 2,June,24,Data Scientist,Galia,Single,No,61054,A- 20K to 70K,NY,0,5,0,1,0,12
18 to 29,No,Frequent Traveller,Technology,28,2.49,20,Information Systems,3,5B38-57D2,White,Dennie,Male,2020,Qtr 3,July,5,Software Engineer,Morrel,Married,Yes,29835,A- 20K to 70K,CA,3,2,0,0,0,23
18 to 29,No,Frequent Traveller,Technology,20,6.21,27,Information Systems,3,8EAF-4F79,White,Marrilee,Female,2016,Qtr 4,October,15,Senior Software Engineer,Brosio,Married,Yes,167879,C- 150K to 225K,CA,1,6,6,6,3,12
18 to 29,No,Frequent Traveller,Technology,23,1.41,20,Information Systems,3,954A-3829,White,Karlene,Female,2021,Qtr 3,August,2,Software Engineer,Lockless,Divorced,Yes,31801,A- 20K to 70K,CA,1,1,1,1,0,23
18 to 29,No,Frequent Traveller,Technology,15,5.44,23,Information Systems,3,9C6C-E5CE,Asian or Asian American,Damon,Non-Binary,2017,Qtr 3,July,24,Data Scientist,Nice,Single,No,29890,A- 20K to 70K,CA,0,5,0,1,1,12
18 to 29,No,Frequent Traveller,Technology,27,0.35,21,Information Systems,3,C4F7-E118,White,Brit,Female,2022,Qtr 3,August,24,Data Scientist,Seine,Divorced,No,72355,B- 70K to 150K,NY,2,0,0,0,0,23
18 to 29,No,Frequent Traveller,Technology,40,7.42,27,Information Systems,3,CE90-763C,Black or African American,Carly,Female,2015,Qtr 3,August,2,Data Scientist,Mushawe,Married,No,31672,A- 20K to 70K,CA,1,7,1,3,6,34
18 to 29,No,Frequent Traveller,Technology,23,5.34,25,Information Systems,3,D29C-A21F,Black or African American,Ebenezer,Male,2017,Qtr 3,August,31,Software Engineer,Bontein,Married,No,22525,A- 20K to 70K,CA,1,5,3,4,5,23
18 to 29,No,Frequent Traveller,Technology,39,1.48,20,Information Systems,3,F3AE-DEF2,White,Vern,Male,2021,Qtr 3,July,7,Machine Learning Engineer,Foord,Single,No,42308,A- 20K to 70K,CA,0,1,1,1,0,34
18 to 29,No,Frequent Traveller,Technology,12,8.1,29,Information Systems,3,FBED-F86B,Mixed or multiple ethnic groups,Karylin,Female,2014,Qtr 4,November,27,Software Engineer,Aphale,Single,No,72057,B- 70K to 150K,IL,0,8,8,8,3,12
18 to 29,No,Frequent Traveller,Technology,30,3.44,24,Information Systems,4,0742-C802,White,Glennis,Female,2019,Qtr 3,July,24,Senior Software Engineer,Miquelet,Married,Yes,66110,A- 20K to 70K,NY,2,3,2,2,0,23
18 to 29,No,Frequent Traveller,Technology,28,5.26,26,Information Systems,4,4467-6B8F,Mixed or multiple ethnic groups,Shandeigh,Female,2017,Qtr 3,September,29,Machine Learning Engineer,Plott,Divorced,Yes,79324,B- 70K to 150K,NY,0,5,2,3,5,23
18 to 29,No,Frequent Traveller,Technology,16,6.95,27,Information Systems,4,46D6-CA7A,Mixed or multiple ethnic groups,Vanya,Male,2016,Qtr 1,January,19,Senior Software Engineer,Gittoes,Single,No,75275,B- 70K to 150K,CA,0,6,4,5,5,12
18 to 29,No,Frequent Traveller,Technology,25,0.26,18,Information Systems,4,5021-423E,White,Standford,Male,2022,Qtr 3,September,28,Data Scientist,Dodshun,Single,No,72639,B- 70K to 150K,NY,0,0,0,0,0,23
18 to 29,No,Frequent Traveller,Technology,35,2.96,23,Information Systems,4,626D-4669,White,Gerardo,Male,2020,Qtr 1,January,14,Senior Software Engineer,Geggus,Single,No,51906,A- 20K to 70K,CA,0,2,1,1,1,34
18 to 29,No,Frequent Traveller,Technology,21,6.13,25,Information Systems,4,6987-6124,White,Virgil,Male,2016,Qtr 4,November,15,Engineering Manager,Lippini,Single,No,182961,C- 150K to 225K,CA,0,6,3,5,1,12
18 to 29,No,Frequent Traveller,Technology,34,0.96,18,Information Systems,4,860E-0FA9,White,Zonda,Female,2022,Qtr 1,January,13,Software Engineer,Lefeuvre,Single,Yes,54085,A- 20K to 70K,NY,1,0,0,0,0,34
18 to 29,No,Frequent Traveller,Technology,4,4.01,25,Information Systems,5,97F7-5710,Asian or Asian American,Jordan,Female,2018,Qtr 4,December,30,Engineering Manager,Kuschke,Married,Yes,199034,C- 150K to 225K,CA,0,4,4,4,4,1
18 to 29,No,Frequent Traveller,Technology,40,7.12,28,Information Systems,5,D6BB-FEDF,White,Galen,Male,2015,Qtr 4,November,19,Data Scientist,Rocca,Divorced,Yes,109172,B- 70K to 150K,NY,1,7,1,3,1,34
18 to 29,No,Frequent Traveller,Technology,12,5.7,26,Other,3,D383-714B,White,Lindsey,Male,2017,Qtr 2,April,22,Data Scientist,Hedley,Married,No,29449,A- 20K to 70K,IL,1,5,1,3,1,12
18 to 29,No,Frequent Traveller,Technology,4,6.9,27,Other,3,F20A-F424,White,Basia,Female,2016,Qtr 1,February,9,Data Scientist,Goodswen,Married,No,27550,A- 20K to 70K,NY,1,6,6,6,5,1
